"run","initialStrength","EndTime","initialActionNorm","normAgentCount","valueNormAgentCount","valueNormWeight","k","valueDifferenceMean","ds","LHE:forceHumanAction","randomSeed","pieSize","selfTrAvgStrength","valueDifferenceSD","LHEAgentCount","selfEnAvgStrength","GUI","equalInitialQuality","valueAgentCount","initialAcceptRateNorm","agentCount","beta"
1,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",1,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
3,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",3,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
5,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",5,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
7,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",7,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
9,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",9,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
11,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",11,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
13,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",13,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
15,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",15,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
17,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",17,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
19,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",19,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
21,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",21,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
23,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",23,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
25,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",25,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
27,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",27,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
29,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",29,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
31,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",31,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
33,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",33,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
35,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",35,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
37,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",37,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
39,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",39,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
41,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",41,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
43,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",43,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
45,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",45,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
47,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",47,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
49,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",49,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
2,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",2,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
4,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",4,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
6,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",6,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
8,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",8,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
10,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",10,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
12,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",12,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
14,1.0,200,0,0,32,0.1,0.5,-0.55,0.5,"true",14,1000,1.0,1.14,0,1.0,"false","true",0,0,32,0.1
